State,2021,Preceding Period,Year Ago from Period
Alabama,27.4,27.8,27.8
Alaska,32.8,31.9,31.9
Arizona,32.4,33.0,33.0
Arkansas,25.3,24.9,24.9
California,36.2,36.9,36.9
Colorado,44.4,44.2,44.2
Connecticut,42.1,42.4,42.4
Delaware,35.6,34.7,34.7
District of Columbia,63.0,63.6,63.6
Florida,33.2,33.7,33.7
Georgia,34.6,34.8,34.8
Hawaii,35.3,35.5,35.5
Idaho,30.7,30.9,30.9
Illinois,37.1,37.6,37.6
Indiana,28.9,28.9,28.9
Iowa,30.5,29.5,29.5
Kansas,35.4,35.1,35.1
Kentucky,27.0,27.4,27.4
Louisiana,26.4,27.2,27.2
Maine,36.0,33.5,33.5
Maryland,42.5,43.1,43.1
Massachusetts,46.6,46.9,46.9
Michigan,31.7,32.1,32.1
Minnesota,38.9,37.9,37.9
Mississippi,24.8,24.5,24.5
Missouri,31.7,31.9,31.9
Montana,34.8,34.6,34.6
Nebraska,34.4,33.3,33.3
Nevada,27.6,28.0,28.0
New Hampshire,40.2,40.2,40.2
New Jersey,43.1,43.1,43.1
New Mexico,30.1,30.1,30.1
New York,39.9,39.5,39.5
North Carolina,34.9,34.8,34.8
North Dakota,31.7,31.8,31.8
Ohio,30.7,30.6,30.6
Oklahoma,27.9,27.0,27.0
Oregon,36.3,36.3,36.3
Pennsylvania,34.5,34.0,34.0
Rhode Island,36.5,38.0,38.0
South Carolina,31.5,31.7,31.7
South Dakota,31.7,28.4,28.4
Tennessee,30.5,30.7,30.7
Texas,33.1,33.2,33.2
Utah,36.8,36.9,36.9
Vermont,44.4,42.1,42.1
Virginia,41.8,42.0,42.0
Washington,39.0,38.4,38.4
West Virginia,24.1,23.1,23.1
Wisconsin,32.5,31.8,31.8
Wyoming,29.2,28.2,28.2
